Series,Episode,AirDate,Chaser,P1,P2,P3,P4,NPlayers,PTotal,playerScore,chaserScore,playerWin,remainingTime
8,60,2014-12-12,Shaun Wallace,3000.0,4000.0,0.0,6000.0,3.0,13000.0,13,13,False,45.0
8,61,2014-12-15,Mark Labbett,4000.0,0.0,3000.0,5000.0,3.0,12000.0,20,20,False,6.0
8,62,2014-12-16,Anne Hegerty,6000.0,5000.0,7000.0,4000.0,4.0,22000.0,21,19,True,0.0
8,63,2014-12-17,Paul Sinha,0.0,7000.0,0.0,5000.0,2.0,12000.0,19,19,False,25.0
8,64,2014-12-18,Shaun Wallace,0.0,0.0,0.0,40000.0,1.0,40000.0,13,13,False,33.0
8,65,2015-01-05,Anne Hegerty,0.0,6000.0,300.0,0.0,2.0,6300.0,15,15,False,25.0
8,66,2015-01-06,Shaun Wallace,6000.0,0.0,3000.0,0.0,2.0,9000.0,11,11,False,51.0
8,67,2015-01-07,Mark Labbett,0.0,24000.0,-1000.0,7000.0,2.0,30000.0,16,16,False,36.0
8,68,2015-01-08,Shaun Wallace,7000.0,0.0,33000.0,0.0,2.0,40000.0,15,11,True,0.0
8,69,2015-01-09,Paul Sinha,7000.0,7000.0,0.0,0.0,2.0,14000.0,16,16,False,11.0
8,70,2015-01-12,Shaun Wallace,6000.0,4000.0,0.0,0.0,2.0,10000.0,14,14,False,34.0
8,71,2015-01-13,Anne Hegerty,3000.0,6000.0,100.0,0.0,3.0,9100.0,17,13,True,0.0
8,72,2015-01-14,Mark Labbett,0.0,0.0,6000.0,0.0,1.0,6000.0,10,10,False,74.0
8,73,2015-01-15,Paul Sinha,0.0,7000.0,500.0,7000.0,3.0,14500.0,16,16,False,22.0
8,74,2015-01-16,Anne Hegerty,0.0,8000.0,48000.0,-11000.0,2.0,45000.0,18,18,False,17.0
8,75,2015-01-26,Shaun Wallace,0.0,0.0,1000.0,7000.0,2.0,8000.0,11,11,False,35.0
8,76,2015-01-27,Paul Sinha,8000.0,6000.0,5000.0,0.0,3.0,19000.0,17,17,False,11.0
8,77,2015-01-28,Anne Hegerty,0.0,8000.0,4000.0,0.0,2.0,12000.0,15,15,False,12.0
8,78,2014-02-14,Shaun Wallace,7000.0,9000.0,2000.0,0.0,3.0,18000.0,18,12,True,0.0
8,79,2015-01-30,Mark Labbett,5000.0,6000.0,0.0,0.0,2.0,11000.0,12,12,False,34.0
8,80,2015-02-02,Shaun Wallace,3000.0,0.0,0.0,0.0,1.0,3000.0,10,10,False,51.0
8,81,2015-02-03,Anne Hegerty,6000.0,0.0,3000.0,7000.0,3.0,16000.0,20,8,True,0.0
8,82,2015-02-04,Mark Labbett,3000.0,6000.0,0.0,0.0,2.0,9000.0,9,9,False,53.0
8,83,2014-12-19,Paul Sinha,3000.0,6000.0,1000.0,5000.0,4.0,15000.0,21,17,True,0.0
8,84,2015-02-06,Anne Hegerty,5000.0,3000.0,1.0,7000.0,4.0,15001.0,21,21,False,2.0
8,85,2015-02-09,Mark Labbett,0.0,5000.0,0.0,45000.0,2.0,50000.0,14,14,False,20.0
8,86,2015-02-10,Shaun Wallace,18000.0,0.0,0.0,-4000.0,1.0,14000.0,10,10,False,41.0
8,87,2015-02-11,Mark Labbett,0.0,6000.0,2.0,1000.0,3.0,7002.0,19,16,True,0.0
8,88,2015-02-12,Anne Hegerty,4000.0,40000.0,4000.0,0.0,3.0,48000.0,16,16,False,4.0
8,89,2015-02-13,Paul Sinha,0.0,0.0,1000.0,0.0,1.0,1000.0,14,14,False,43.0
8,90,2015-02-23,Anne Hegerty,4000.0,5000.0,-1000.0,7000.0,3.0,15000.0,21,21,False,1.0
8,91,2015-02-24,Paul Sinha,4000.0,6000.0,4000.0,4000.0,4.0,18000.0,20,17,True,0.0
8,92,2015-02-25,Mark Labbett,0.0,0.0,1000.0,59000.0,2.0,60000.0,16,16,False,34.0
8,93,2015-02-26,Shaun Wallace,0.0,0.0,1000.0,0.0,1.0,1000.0,12,12,False,14.0
8,94,2015-02-27,Mark Labbett,4000.0,4000.0,0.0,0.0,2.0,8000.0,12,12,False,34.0
8,95,2015-02-05,Paul Sinha,4000.0,4000.0,0.0,0.0,2.0,8000.0,13,13,False,40.0
8,96,2015-03-03,Anne Hegerty,4000.0,0.0,6000.0,2000.0,3.0,12000.0,17,17,False,10.0
